Id,Label,timeset,category,startyearcorfixvalue,endyearcor,Size,Color
Q119454376,t Daghet in den Oosten,"<[1710.0, 1710.0]>",Person,1710,1710,10,"#d97dd8"
Q115818424,Achiel Piepers,"<[1889.0, 1889.0]>",Person,1889,1889,30.425531,"#d97dd8"
Q119013873,Achiel Van de Putte,"<[1892.0, 1892.0]>",Person,1892,1892,25.319149,"#d97dd8"
Q119217729,Achille Croquison,"<[1893.0, 1893.0]>",Person,1893,1893,10,"#d97dd8"
Q113754119,Adolf De Wolf,"<[1886.0, 1898.0]>",Person,1886,1898,11.276596,"#ffbcae"
Q2524668,Adolf Duclos,"<[1710.0, 1710.0]>",Person,1710,1710,57.234043,"#d97dd8"
Q43140929,Adolf Pauwels,"<[1884.0, 1884.0]>",Person,1884,1884,13.829787,"#d97dd8"
Q100534520,Adolf Verriest,"<[1872.0, 1872.0]>",Person,1872,1872,18.936169,"#d97dd8"
Q136793932,Adèle Serweytens,"<[1710.0, 1710.0]>",Person,1710,1710,11.276596,"#d97dd8"
Q116687284,Agnes Mary Christophers,"<[1857.0, 1857.0]>",Person,1857,1857,15.106382,"#d97dd8"
Q118772822,Albert Aimé Marie Vandewalle,"<[1895.0, 1895.0]>",Person,1895,1895,13.829787,"#d97dd8"
Q586323,Albert Verwey,"<[1710.0, 1710.0]>",Person,1710,1710,24.042553,"#d97dd8"
Q2832059,Albéric Emmanuel Henri Marie Ghislain Ruzette,"<[1710.0, 1710.0]>",Person,1710,1710,13.829787,"#d97dd8"
Q115811921,Alexandre Berghman,"<[1710.0, 1710.0]>",Person,1710,1710,22.765957,"#d97dd8"
Q56036018,Alexandre Bonvarlet,"<[1885.0, 1891.0]>",Person,1885,1891,16.382978,"#d97dd8"
Q118142378,Alfons Bouckaert,"<[1895.0, 1896.0]>",Person,1895,1896,18.936169,"#d97dd8"
Q110039191,Alfons Dassonville,"<[1896.0, 1896.0]>",Person,1896,1896,34.255318,"#d97dd8"
Q2100582,Alfons De Cock,"<[1895.0, 1897.0]>",Person,1895,1897,17.659575,"#ffbcae"
Q2638823,Alfons Janssens,"<[1888.0, 1888.0]>",Person,1888,1888,24.042553,"#d97dd8"
Q56036059,Alfons Maria Napoleon Prayon-van Zuylen van Nyevelt,"<[1888.0, 1888.0]>",Person,1888,1888,18.936169,"#d97dd8"
Q2539969,Alfons Siffer,"<[1710.0, 1710.0]>",Person,1710,1710,18.936169,"#d97dd8"
Q119621396,Alfons Steinmetz,"<[1710.0, 1710.0]>",Person,1710,1710,11.276596,"#d97dd8"
Q2050293,Alfons Van Hee,"<[1876.0, 1876.0]>",Person,1876,1876,32.978722,"#d97dd8"
Q26845752,Alfred Guichon de Grandpont,"<[1896.0, 1896.0]>",Person,1896,1896,13.829787,"#d97dd8"
Q115979418,Aloysius Vandemaele,"<[1850.0, 1890.0]>",Person,1850,1890,31.702127,"#d97dd8"
